顽固,wángù,stubborn; obstinate
制服,zhìfú,(in former times) what one is allowed to wear depending on social status; livery (for company employees); to bring under control; to check; to subdue; uniform (army, party, school etc)
粉末,fěnmò,dust; fine powder
约束,yuēshù,constraint; restriction; to constrain; to limit to; to restrict
监狱,jiānyù,prison
繁殖,fánzhí,to breed; to propagate; to reproduce
盛开,shèngkāi,blooming; in full flower
纯洁,chúnjié,clean and honest; pure; to purify
珍贵,zhēnguì,precious
迈,mài,to stride; to take a step
境界,jìngjiè,boundary; realm; state
话筒,huàtǒng,(fig.) mouthpiece; spokesperson; (telephone) receiver; handset; megaphone; microphone
岳母,yuèmǔ,wife's mother, mother-in-law
提炼,tíliàn,to extract (ore, minerals etc); to process; to purify; to refine
徒弟,túdì,apprentice; disciple
密度,mìdù,density; thickness
仁慈,réncí,benevolent; charitable; kind; kindly; kindness; merciful
多元化,duōyuánhuà,diversification; pluralism; to diversify
勉强,miǎnqiǎng,barely enough; reluctant; to do with difficulty; to force sb to do sth
亲热,qīnrè,(coll.) to get intimate with sb; affectionate; intimate; warmhearted; to show affection for
武侠,wǔxiá,knight-errant; martial arts chivalry (Chinese literary, theatrical and cinema genre)
辩解,biànjiě,to defend (a point of view etc); to explain; to justify; to provide an explanation; to try to defend oneself
缺席,quēxí,to be absent
腐朽,fǔxiǔ,decadent; decayed; degenerate; rotten
局势,júshì,situation; state (of affairs)
队伍,duìwǔ,line; procession; queue; ranks; troops
腥,xīng,fishy (smell)
清洁,qīngjié,clean; to clean
石油,shíyóu,oil; petroleum
恭敬,gōngjìng,deferential; respectful
储存,chǔcún,stockpile; storage; to stockpile; to store
拟定,nǐdìng,to draft; to draw up; to formulate
气势,qìshì,energetic looks; grandeur; imposing manner; loftiness; vigor
贪婪,tānlán,avaricious; avid; greedy; insatiable; rapacious
申报,shēnbào,to declare (to customs); to report (to the authorities)
充沛,chōngpèi,abundant; plentiful
协会,xiéhuì,a society; an association
标题,biāotí,caption; heading; headline; subject; title
动静,dòngjìng,(detectable) movement; (sign of) activity; movement and stillness
舆论,yúlùn,public opinion
融化,rónghuà,to blend into; to combine; to dissolve; to fuse; to melt; to thaw
遗留,yíliú,to hand down; to leave behind
侵略,qīnlüè,invasion; to invade
呼吁,hūyù,an appeal; to appeal (to); to call on (sb to do sth)
堆积,duījī,accumulation; to heap; to pile up
